Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
2/28/2017,422745,84129,UT,Salt Lake City,Salt Lake,Taylorsville,2869,212000,0.006647673,0.025641026,0.093347086,0.093329843,0.000948324,2008-01,2008-Q1,227100,-0.066490533,2007-03
2/28/2017,92489,78539,TX,McAllen,Hidalgo,Edinburg,2870,130000,0.003861004,0.008533747,0.043338684,0.032664259,0.015196601,2017-02,2017-Q1,130000,0,2017-02
2/28/2017,58257,1089,MA,Springfield,Hampden,West Springfield,2871,209200,0.002395783,0.008678881,0.047571357,0.023457387,0.002274859,2006-08,2006-Q3,211300,-0.009938476,2006-06
2/28/2017,93215,80026,CO,Boulder,Boulder,Lafayette,2872,418400,0.00528592,0.018748478,0.082815735,0.111706627,0.05356539,2017-02,2017-Q1,418400,0,2017-02
2/28/2017,95944,89521,NV,Reno,Washoe,Reno,2873,364400,0.003027801,0.012222222,0.081305638,0.125129239,-0.004314069,2006-04,2006-Q2,414000,-0.119806763,2005-03
2/28/2017,97381,93638,CA,Madera,Madera,Madera,2874,178600,0.017084282,0.049970606,0.144871795,0.136732734,-0.040413894,2007-01,2007-Q1,270100,-0.338763421,2005-01
2/28/2017,91210,76049,TX,Dallas-Fort Worth,Hood,Granbury,2875,217800,0.006934813,0.0230155,0.087912088,0.041067266,0.017617149,2017-02,2017-Q1,217800,0,2017-02
2/28/2017,67192,22207,VA,Washington,Arlington,Arlington,2876,907600,0.007772596,0.028675054,0.031832651,0.030977313,0.019610125,2017-02,2017-Q1,907600,0,2017-02
2/28/2017,99117,97203,OR,Portland,Multnomah,Portland,2877,355400,0.011095306,0.037058652,0.153521584,0.146640895,0.045252347,2017-02,2017-Q1,355400,0,2017-02
2/28/2017,97337,93561,CA,Bakersfield,Kern,Tehachapi,2878,240900,0.005845511,0.01474305,0.039706517,0.078233421,-0.022738566,2006-10,2006-Q4,309300,-0.22114452,2004-12
2/28/2017,96172,90604,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,South Whittier,2879,503300,0.002589641,0.011454984,0.08774584,0.087163555,-0.00538069,2006-09,2006-Q3,534300,-0.058019839,2005-12
2/28/2017,95983,90002,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,2880,319200,0.005671078,0.020134228,0.096153846,0.128116615,-0.019833562,2007-03,2007-Q1,390100,-0.18174827,2005-11
2/28/2017,72475,33173,FL,Miami-Fort Lauderdale,Miami-Dade,Kendall,2881,310500,-0.003210273,0.005830904,0.073651452,0.10995981,-0.015092759,2007-02,2007-Q1,361500,-0.141078838,2005-09
2/28/2017,78962,48089,MI,Detroit,Macomb,Warren,2882,53200,0.015267176,0.04518664,0.072580645,0.05092738,-0.04972831,2005-02,2005-Q1,93400,-0.430406852,
2/28/2017,79060,48205,MI,Detroit,Wayne,Detroit,2883,32500,0.012461059,0.028481013,0.072607261,-0.001226245,-0.081320218,2006-08,2006-Q3,77600,-0.581185567,
2/28/2017,62259,11787,NY,New York,Suffolk,Smithtown,2884,453000,0.007562278,0.023728814,0.048611111,0.021345795,-0.01205277,2006-04,2006-Q2,529400,-0.144314318,2004-07
2/28/2017,84502,60451,IL,Chicago,Will,New Lenox,2885,263800,0.010340866,0.029262583,0.023273856,0.029147723,-0.009594906,2007-05,2007-Q2,291500,-0.095025729,2005-05
2/28/2017,94220,83605,ID,Boise City,Canyon,Caldwell,2886,129100,0.002329193,0.003108003,0.092216582,0.148165234,-0.010519057,2007-08,2007-Q3,151600,-0.148416887,2006-08
2/28/2017,58779,2474,MA,Boston,Middlesex,Arlington,2887,641500,0.008172246,0.023125997,0.079602827,0.068918101,0.040571529,2017-02,2017-Q1,641500,0,2017-02
2/28/2017,84489,60438,IL,Chicago,Cook,Lansing,2888,108300,-0.001843318,0.008379888,0.102851324,0.03474071,-0.035589597,2007-03,2007-Q1,156100,-0.306213965,1999-10
2/28/2017,99512,98027,WA,Seattle,King,Issaquah,2889,659700,0.007329363,0.029976581,0.1119164,0.097239787,0.019639539,2017-02,2017-Q1,659700,0,2017-02
2/28/2017,87502,67207,KS,Wichita,Sedgwick,Wichita,2890,143000,0.005625879,0.016346837,0.045321637,0.021454471,0.017013951,2010-12,2010-Q4,144100,-0.007633588,2010-12
2/28/2017,77670,45431,OH,Dayton,Greene,Beavercreek,2891,132400,0.008377761,0.023975251,0.064308682,0.024514229,-0.003627472,2004-01,2004-Q1,154500,-0.143042071,2003-10
2/28/2017,66629,20782,MD,Washington,Prince Georges,Chillum,2892,297600,-0.002680965,-0.004682274,0.112939417,0.131158361,-0.022040939,2007-03,2007-Q1,372500,-0.201073826,2005-08
2/28/2017,70360,29205,SC,Columbia,Richland,Columbia,2893,185000,0.006528836,0.023230088,0.045788581,0.027924786,0.00235453,2017-02,2017-Q1,185000,0,2017-02
2/28/2017,60656,7410,NJ,New York,Bergen,Fair Lawn,2894,385600,0.000518941,-0.007975302,0.016073781,0.033960601,-0.011091977,2006-05,2006-Q2,436300,-0.116204446,2005-01
2/28/2017,69354,27455,NC,,Guilford,Greensboro,2895,181200,0.003878116,0.012290503,0.057793345,0.030534215,0.00843595,2017-02,2017-Q1,181200,0,2017-02
2/28/2017,74216,37172,TN,Nashville,Robertson,Springfield,2896,152800,0.007915567,0.027572293,0.153207547,0.048816168,,2017-02,2017-Q1,152800,0,2017-02
2/28/2017,86951,65721,MO,Springfield,Christian,Ozark,2897,215500,0.006069094,0.031100478,0.068948413,0.035966962,-0.00206453,2009-05,2009-Q2,227000,-0.050660793,2008-12
2/28/2017,79025,48162,MI,Monroe,Monroe,Monroe Township,2898,138600,0.004347826,0.010940919,0.093922652,0.070694076,-0.006001928,2004-06,2004-Q2,153800,-0.098829649,2003-02
2/28/2017,81240,53140,WI,Chicago,Kenosha,Kenosha,2899,126900,0.003955696,0.017642342,0.072696534,0.030122469,-0.013990406,2006-08,2006-Q3,147700,-0.140825999,2003-11
2/28/2017,99183,97306,OR,Salem,Marion,Salem,2900,269100,0.001861504,0.013941221,0.111983471,0.074821073,0.009138683,2017-02,2017-Q1,269100,0,2017-02
2/28/2017,73197,34743,FL,Orlando,Osceola,Yeehaw Junction,2901,175200,-0.002277904,0,0.113795296,0.14765218,-0.025096146,2006-11,2006-Q4,231200,-0.242214533,2005-06
2/28/2017,77530,45239,OH,Cincinnati,Hamilton,White Oak,2902,98300,0.010277492,0.014447884,0.060409924,0.031940949,-0.018349533,2006-03,2006-Q1,121000,-0.187603306,2000-09
